Time [s],Pin4,Pin5,OtherStrobeMaybe_n,TRESETn,StrobeMaybe
0.000000000,0,0,0,0,0
1.592750600,0,0,0,0,1
1.693158460,0,0,0,1,1
1.793582680,0,1,0,1,1
1.793583720,0,1,0,1,0
1.793583860,1,0,0,1,0
1.793584000,1,1,0,1,0
1.793584120,0,0,0,1,0
1.793584240,0,1,0,1,0
1.793584360,0,0,0,1,0
1.793584500,0,1,0,1,0
1.793584620,0,0,0,1,0
1.793584740,0,1,0,1,0
1.793584860,0,0,0,1,0
1.793584880,1,0,0,1,0
1.793585000,1,1,0,1,0
1.793585120,0,0,0,1,0
1.793585240,0,1,0,1,0
1.793585380,0,0,0,1,0
1.793585500,0,1,0,1,0
1.793585620,0,0,0,1,0
1.793585740,0,1,0,1,0
1.793585880,0,0,0,1,0
1.793588840,0,0,0,1,1
1.793589480,0,0,0,1,0
1.793589640,1,0,0,1,0
1.793589760,1,1,0,1,0
1.793589880,0,0,0,1,0
1.793590000,0,1,0,1,0
1.793590140,0,0,0,1,0
1.793590260,0,1,0,1,0
1.793590380,0,0,0,1,0
1.793590500,0,1,0,1,0
1.793590640,1,0,0,1,0
1.793590760,1,1,0,1,0
1.793590880,0,0,0,1,0
1.793591000,0,1,0,1,0
1.793591140,0,0,0,1,0
1.793591260,0,1,0,1,0
1.793591380,0,0,0,1,0
1.793591500,0,1,0,1,0
1.793591640,0,0,0,1,0
1.793594620,0,0,0,1,1
1.793595240,0,0,0,1,0
1.793595400,1,0,0,1,0
1.793595520,1,1,0,1,0
1.793595640,0,0,0,1,0
1.793595760,0,1,0,1,0
1.793595900,0,0,0,1,0
1.793596020,0,1,0,1,0
1.793596140,0,0,0,1,0
1.793596260,0,1,0,1,0
1.793596400,1,0,0,1,0
1.793596520,1,1,0,1,0
1.793596640,1,0,0,1,0
1.793596660,0,0,0,1,0
1.793596780,0,1,0,1,0
1.793596900,0,0,0,1,0
1.793597020,0,1,0,1,0
1.793597140,0,0,0,1,0
1.793597280,0,1,0,1,0
